AUTAUGA ,AL ,H0150 ,HEALTHSPRING OF ALABAMA  INC. ,HMO ,1000,6883,313,4.55,654.22
TELLER ,CO ,H4556 ,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC ,HCPP ,6590,2688,  ,  ,654.22
TELLER ,CO ,H4652 ,UNION PACIFIC RR EMPLOYES HEALTH SYS ,HCPP ,6590,2688,  ,  ,654.22
WASHINGTON ,CO ,H0504 ,CA PHYSICIANS SERV/DBA BLUE SHIELD OF CALIF ,HMO ,6600,897,  ,  ,594.36
WASHINGTON ,CO ,H0602 ,ROCKY MOUNTAIN HEALTH PLANS ,COST ,6600,897,  ,  ,594.36
WASHINGTON ,CO ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,6600,897,  ,  ,594.36
WELD ,CO ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,6610,21912,21,0.1,654.22
WELD ,CO ,H0602 ,ROCKY MOUNTAIN HEALTH PLANS ,COST ,6610,21912,805,3.67,654.22
WELD ,CO ,H0609 ,PACIFICARE OF COLORADO  INC ,HMO ,6610,21912,61,0.28,654.22
WELD ,CO ,H0620 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,6610,21912,28,0.13,654.22
WELD ,CO ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,6610,21912,1279,5.84,654.22
WELD ,CO ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,6610,21912,83,0.38,654.22
WELD ,CO ,H4652 ,UNION PACIFIC RR EMPLOYES HEALTH SYS ,HCPP ,6610,21912,39,0.18,654.22
WELD ,CO ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H0316 ,UNITEDHEALTHCARE OF ARIZONA INC ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H0319 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,6610,21912,  ,  ,654.22
WELD ,CO ,H0354 ,CIGNA HEALTHCARE OF ARIZONA  INC. ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H0613 ,TOTAL LONGTERM CARE  INC. ,PACE ,6610,21912,  ,  ,654.22
WELD ,CO ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,6610,21912,  ,  ,654.22
WELD ,CO ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H3957 ,KEYSTONE HEALTH PLAN WEST  INC. ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H4513 ,TEXAS HEALTHSPRING I  LLC ,HMO ,6610,21912,  ,  ,654.22
WELD ,CO ,H4556 ,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC ,HCPP ,6610,21912,  ,  ,654.22
YUMA ,CO ,H0602 ,ROCKY MOUNTAIN HEALTH PLANS ,COST ,6620,1667,28,1.68,591.91
YUMA ,CO ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,6620,1667,  ,  ,591.91
YUMA ,CO ,H0504 ,CA PHYSICIANS SERV/DBA BLUE SHIELD OF CALIF ,HMO ,6620,1667,  ,  ,591.91
YUMA ,CO ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,6620,1667,  ,  ,591.91
BROOMFIELD ,CO ,H0602 ,ROCKY MOUNTAIN HEALTH PLANS ,COST ,6630,1198,100,  ,654.22
BROOMFIELD ,CO ,H0609 ,PACIFICARE OF COLORADO  INC ,HMO ,6630,1198,608,  ,654.22
BROOMFIELD ,CO ,H0620 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,6630,1198,20,  ,654.22
BROOMFIELD ,CO ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,6630,1198,1215,  ,654.22
BROOMFIELD ,CO ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H0302 ,SUN HEALTH MEDISUN  INC. ,HMO ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H0613 ,TOTAL LONGTERM CARE  INC. ,PACE ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H0621 ,COLORADO ACCESS ,HMO ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H3653 ,PARAMOUNT CARE  INC ,HMO ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H4556 ,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC ,HCPP ,6630,1198,  ,  ,654.22
BROOMFIELD ,CO ,H4652 ,UNION PACIFIC RR EMPLOYES HEALTH SYS ,HCPP ,6630,1198,  ,  ,654.22
UNDER-11 ,  ,Hxxxx ,Rollup by STATE of Under-11 ,11-Jan,06xxx ,  ,1379,  ,. 
FAIRFIELD ,CT ,H0710 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7000,127678,208,0.16,687.4
FAIRFIELD ,CT ,H0712 ,WELLCARE OF CONNECTICUT  INC. ,HMO ,7000,127678,113,0.09,687.4
FAIRFIELD ,CT ,H0755 ,HEALTH NET OF CONNECTICUT ,HMO ,7000,127678,12416,9.72,687.4
FAIRFIELD ,CT ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,7000,127678,25,0.02,687.4
FAIRFIELD ,CT ,H3307 ,OXFORD HEALTH PLANS (NY) INC. ,HMO ,7000,127678,15,0.01,687.4
FAIRFIELD ,CT ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,7000,127678,12,0.01,687.4
FAIRFIELD ,CT ,H3370 ,EMPIRE HEALTHCHOICE HMO  INC. ,HMO ,7000,127678,12,0.01,687.4
FAIRFIELD ,CT ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0504 ,CA PHYSICIANS SERV/DBA BLUE SHIELD OF CALIF ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0523 ,AETNA HEALTH OF CALIFORNIA INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0630 ,KAISER FOUNDATION HP OF CO ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H0752 ,OXFORD HEALTH PLANS (CT)  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1013 ,VISTA HEALTHPLAN OF SOUTH FLORIDA  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1016 ,AVMED  INC ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1019 ,CAREONE HEALTH PLAN  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1026 ,HEALTH OPTIONS  INC ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1035 ,FLORIDA HEALTH CARE PLAN  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1045 ,PREFERRED CARE PARTNERS INC. ,PSO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1076 ,VISTA HEALTHPLAN  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1099 ,HEALTH FIRST HEALTH PLANS  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1413 ,UNITED HEALTHCARE INS. COMPANY  INC. ,DEMP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1951 ,HUMANA HEALTH BENEFIT PLAN OF LOUISIANA INC ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H2206 ,HARVARD PILGRIM HEALTH CARE ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H2220 ,UPHAMS CORNER HEALTH COMMITTEE  INC. ,PACE ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H2228 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H2256 ,TUFTS ASSOCIATED HMO  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H2261 ,BLUE CROSS & BLUE SHIELD OF MA HMO BLUE  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H2459 ,UCARE MINNESOTA ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3108 ,AETNA HEALTH INC. ,DEMP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3152 ,AETNA HEALTH  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3305 ,ROCHESTER AREA HMO/ DBA PREFERRED CARE ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3312 ,AETNA HEALTH INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3329 ,COMPREHENSIVE CARE MANAGEMENT CORP. ,PACE ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3356 ,EXCELLUS HEALTH PLAN  INC. ,COST ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3359 ,MANAGED HEALTH  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3361 ,WELLCARE_OF NEW YORK  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3379 ,UNITED HEALTHCARE OF NEW YORK  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3456 ,UNITED HEALTHCARE OF NORTH CAROLINA ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3749 ,PACIFICARE OF OKLAHOMA  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3907 ,UNIVERSITY OF PITTSBURGH MEDICAL CENTER ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3952 ,KEYSTONE HEALTH PLAN EAST  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H3957 ,KEYSTONE HEALTH PLAN WEST  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H4003 ,MMM HEALTHCARE  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H4004 ,PREFERRED MEDICARE CHOICE  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H4012 ,TRIPLE-S  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H4102 ,UNITED HEALTH PLANS OF NEW ENGLAND  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H4152 ,BLUE CROSS AND BLUE SHIELD OF RHODE ISLAND ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H4590 ,PACIFICARE OF TEXAS  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H5401 ,UNITED HEALTHCARE INSURANCE COMPANY ,DEMP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H5404 ,UNIVERSAL HEALTH CARE  INC. ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H5413 ,LIFEMASTERS SUPPORTED SELFCARE  INC. ,DEMC ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H5417 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H6331 ,BORO MEDICAL CENTER ,HCPP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H6334 ,NY HOTEL TRADES COUNCIL&HOTEL ASSN OF NYC ,HCPP ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H6360 ,KAISER FOUNDATION HP OF OHIO ,COST ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H9001 ,FALLON COMMUNITY HEALTH PLAN ,HMO ,7000,127678,  ,  ,687.4
FAIRFIELD ,CT ,H9101 ,ELDERPLAN  INC.  - SHMO ,DEMO ,7000,127678,  ,  ,687.4
HARTFORD ,CT ,H0710 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7010,144628,514,0.36,657.96
HARTFORD ,CT ,H0755 ,HEALTH NET OF CONNECTICUT ,HMO ,7010,144628,4691,3.24,657.96
HARTFORD ,CT ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,7010,144628,30,0.02,657.96
HARTFORD ,CT ,H2228 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7010,144628,14,0.01,657.96
HARTFORD ,CT ,H4003 ,MMM HEALTHCARE  INC. ,HMO ,7010,144628,30,0.02,657.96
HARTFORD ,CT ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0303 ,PACIFICARE OF ARIZONA  INC ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0307 ,HUMANA HEALTH PLAN  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0351 ,HEALTH NET OF ARIZONA  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0540 ,UNICARE LIFE & HEALTH INS. COMPANY ,PFFS ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H0752 ,OXFORD HEALTH PLANS (CT)  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1016 ,AVMED  INC ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1019 ,CAREONE HEALTH PLAN  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1035 ,FLORIDA HEALTH CARE PLAN  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1099 ,HEALTH FIRST HEALTH PLANS  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H1961 ,TENET CHOICES  INC. / PEOPLES HEALTH NETWORK ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H2111 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H2206 ,HARVARD PILGRIM HEALTH CARE ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H2226 ,UNITED HEALTHCARE INSURANCE COMPANY ,DEMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H2256 ,TUFTS ASSOCIATED HMO  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H2261 ,BLUE CROSS & BLUE SHIELD OF MA HMO BLUE  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3307 ,OXFORD HEALTH PLANS (NY) INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3330 ,HIP OF GREATER NEW YORK ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3351 ,EXCELLUS HEALTH PLAN  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3356 ,EXCELLUS HEALTH PLAN  INC. ,COST ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3359 ,MANAGED HEALTH  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3366 ,HEALTH NET OF NY ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3370 ,EMPIRE HEALTHCHOICE HMO  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3379 ,UNITED HEALTHCARE OF NEW YORK  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3456 ,UNITED HEALTHCARE OF NORTH CAROLINA ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3653 ,PARAMOUNT CARE  INC ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3655 ,COMMUNITY INSURANCE COMPANY ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3856 ,REGENCE BLUE CROSS BLUE SHIELD OF OREGON ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H3957 ,KEYSTONE HEALTH PLAN WEST  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4004 ,PREFERRED MEDICARE CHOICE  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4005 ,TRIPLE-S  INC. ,PPO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4006 ,MCS LIFE INSURANCE COMPANY ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4007 ,HUMANA HEALTH PLANS OF PUERTO RICO INC ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4011 ,FIRST MEDICAL HEALTH PLAN  INC. ,PPO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4152 ,BLUE CROSS AND BLUE SHIELD OF RHODE ISLAND ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H4650 ,DESERET HEALTHCARE TRUST ,HCPP ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H5005 ,PACIFICARE OF WASHINGTON  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H5402 ,QUALITY HEALTH PLANS  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H5404 ,UNIVERSAL HEALTH CARE  INC. ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H5413 ,LIFEMASTERS SUPPORTED SELFCARE  INC. ,DEMC ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H5417 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H6331 ,BORO MEDICAL CENTER ,HCPP ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H6334 ,NY HOTEL TRADES COUNCIL&HOTEL ASSN OF NYC ,HCPP ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H9001 ,FALLON COMMUNITY HEALTH PLAN ,HMO ,7010,144628,  ,  ,657.96
HARTFORD ,CT ,H9104 ,SCAN HEALTH PLAN ,DEMO ,7010,144628,  ,  ,657.96
LITCHFIELD ,CT ,H0755 ,HEALTH NET OF CONNECTICUT ,HMO ,7020,31029,44,0.14,654.22
LITCHFIELD ,CT ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H0351 ,HEALTH NET OF ARIZONA  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H0564 ,BLUE CROSS OF CALIFORNIA ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H0710 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H0712 ,WELLCARE OF CONNECTICUT  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H0752 ,OXFORD HEALTH PLANS (CT)  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H1032 ,WELL CARE OF FLORIDA  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H1047 ,HUMANA INSURANCE COMPANY ,DEMP ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H1804 ,HUMANA INSURANCE COMPANY ,PFFS ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H2150 ,KAISER FNDN HP OF THE MID-ATLANTIC STS ,COST ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H2228 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H2256 ,TUFTS ASSOCIATED HMO  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H2261 ,BLUE CROSS & BLUE SHIELD OF MA HMO BLUE  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H3314 ,HIP OF GREATER NEW YORK ,COST ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H3952 ,KEYSTONE HEALTH PLAN EAST  INC. ,HMO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H4005 ,TRIPLE-S  INC. ,PPO ,7020,31029,  ,  ,654.22
LITCHFIELD ,CT ,H5404 ,UNIVERSAL HEALTH CARE  INC. ,HMO ,7020,31029,  ,  ,654.22
MIDDLESEX ,CT ,H0755 ,HEALTH NET OF CONNECTICUT ,HMO ,7030,25611,34,0.13,654.22
MIDDLESEX ,CT ,90091,UNITED MINE WORKERS OF AMERICA ,HCPP ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H0354 ,CIGNA HEALTHCARE OF ARIZONA  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H0524 ,KAISER FOUNDATION HP  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H0543 ,PACIFICARE OF CALIFORNIA/SECURE HORIZONS ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H0710 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1026 ,HEALTH OPTIONS  INC ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1034 ,AMERICA'S HEALTH CHOICE MEDICAL PLAN ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1036 ,HUMANA MEDICAL PLAN  INC ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1037 ,CHOICE CARE HEALTH PLAN  INC. ,HCPP ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1080 ,UNITED HEALTHCARE OF FL  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1099 ,HEALTH FIRST HEALTH PLANS  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1108 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H1459 ,ILLINOIS CENTRAL HOSPITAL ASSOCIATION ,HCPP ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H2228 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H2256 ,TUFTS ASSOCIATED HMO  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H2261 ,BLUE CROSS & BLUE SHIELD OF MA HMO BLUE  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H2961 ,HEALTH PLAN OF NEVADA  INC. ,DEMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H3307 ,OXFORD HEALTH PLANS (NY) INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H3359 ,MANAGED HEALTH  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H4003 ,MMM HEALTHCARE  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H4004 ,PREFERRED MEDICARE CHOICE  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H4006 ,MCS LIFE INSURANCE COMPANY ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H4102 ,UNITED HEALTH PLANS OF NEW ENGLAND  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H4152 ,BLUE CROSS AND BLUE SHIELD OF RHODE ISLAND ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H4454 ,HEALTHSPRING  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H5404 ,UNIVERSAL HEALTH CARE  INC. ,HMO ,7030,25611,  ,  ,654.22
MIDDLESEX ,CT ,H5417 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7030,25611,  ,  ,654.22
NEW HAVEN ,CT ,H0710 ,UNITED HEALTHCARE INSURANCE COMPANY ,PPO ,7040,135269,318,0.24,691.03
NEW HAVEN ,CT ,H0712 ,WELLCARE OF CONNECTICUT  INC. ,HMO ,7040,135269,249,0.18,691.03
NEW HAVEN ,CT ,H0752 ,OXFORD HEALTH PLANS (CT)  INC. ,HMO ,7040,135269,1326,0.98,691.03
